session_id,log_path,line_number,timestamp,image_path,filename,frame_type,binning,exposure_seconds,gain,offset,target_name,telescope,camera_temperature_c,filter_name,sequence_number
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,443,2026-07-15T23:07:43.780700+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0102_2026-07-15_22-57-29_FWHM_6.24_Fok_114532.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0102_2026-07-15_22-57-29_FWHM_6.24_Fok_114532.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0102
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,468,2026-07-15T23:18:12.385200+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0103_2026-07-15_23-07-56_FWHM_6.39_Fok_114532.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0103_2026-07-15_23-07-56_FWHM_6.39_Fok_114532.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0103
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,489,2026-07-15T23:28:28.619100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0104_2026-07-15_23-18-12_FWHM_6.49_Fok_114532.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0104_2026-07-15_23-18-12_FWHM_6.49_Fok_114532.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0104
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,510,2026-07-15T23:38:52.322800+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0105_2026-07-15_23-28-38_FWHM_6.48_Fok_114532.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0105_2026-07-15_23-28-38_FWHM_6.48_Fok_114532.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0105
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,579,2026-07-15T23:52:17.837100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0106_2026-07-15_23-42-02_FWHM_7.85_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0106_2026-07-15_23-42-02_FWHM_7.85_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0106
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,600,2026-07-16T00:02:43.145100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0107_2026-07-15_23-52-28_FWHM_7.51_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0107_2026-07-15_23-52-28_FWHM_7.51_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0107
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,621,2026-07-16T00:13:06.571300+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0108_2026-07-16_00-02-51_FWHM_6.73_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0108_2026-07-16_00-02-51_FWHM_6.73_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0108
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,646,2026-07-16T00:23:28.943400+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0109_2026-07-16_00-13-14_FWHM_6.74_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0109_2026-07-16_00-13-14_FWHM_6.74_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0109
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,667,2026-07-16T00:33:56.201600+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0110_2026-07-16_00-23-42_FWHM_6.34_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0110_2026-07-16_00-23-42_FWHM_6.34_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0110
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,688,2026-07-16T00:44:22.996700+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0111_2026-07-16_00-34-08_FWHM_6.27_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0111_2026-07-16_00-34-08_FWHM_6.27_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0111
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,713,2026-07-16T00:55:00.302200+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0112_2026-07-16_00-44-45_FWHM_6.52_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0112_2026-07-16_00-44-45_FWHM_6.52_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0112
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,734,2026-07-16T01:05:26.539500+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0113_2026-07-16_00-55-11_FWHM_6.58_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0113_2026-07-16_00-55-11_FWHM_6.58_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0113
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,769,2026-07-16T01:16:07.079900+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0114_2026-07-16_01-05-53_FWHM_7.82_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0114_2026-07-16_01-05-53_FWHM_7.82_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0114
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,795,2026-07-16T01:26:40.169100+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0115_2026-07-16_01-16-23_FWHM_7.03_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0115_2026-07-16_01-16-23_FWHM_7.03_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0115
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,816,2026-07-16T01:36:56.846600+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0116_2026-07-16_01-26-42_FWHM_6.76_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0116_2026-07-16_01-26-42_FWHM_6.76_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0116
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,837,2026-07-16T01:47:26.428700+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0117_2026-07-16_01-37-10_FWHM_6.55_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0117_2026-07-16_01-37-10_FWHM_6.55_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0117
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,862,2026-07-16T01:57:44.611000+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0118_2026-07-16_01-47-28_FWHM_6.64_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0118_2026-07-16_01-47-28_FWHM_6.64_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0118
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,900,2026-07-16T02:09:47.046000+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0119_2026-07-16_01-59-32_FWHM_7.13_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-9.90C_LPRO_0119_2026-07-16_01-59-32_FWHM_7.13_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-9.90,LPRO,0119
2026-07-15_2026-07-16,data/sessions/2026/07/2026-07-15_2026-07-16/raw/nina/20260715-154048-3.2.0.9001.6864-202607.log,921,2026-07-16T02:20:15.548700+02:00,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0120_2026-07-16_02-10-00_FWHM_7.00_Fok_115741.xisf,D:\Images NINA\Target\LIGHT_1x1_600.00s_910_99_LDN 1320_Skywatcher quattro 200p__-10.00C_LPRO_0120_2026-07-16_02-10-00_FWHM_7.00_Fok_115741.xisf,D:\Images NINA\Target\LIGHT,1x1,600.00,910,99,LDN 1320,Skywatcher quattro 200p,-10.00,LPRO,0120
