PHD2 version 2.6.14 [Windows], Log version 2.5. Log enabled at 2026-08-10 20:40:06
INFO: Guiding parameter change, MultiStar = true

Guiding Begins at 2026-08-10 22:18:22
Equipment Profile = SW4P_EVO
Dither = both axes, Dither scale = 1.000, Image noise reduction = 2x2 mean, Guide-frame time lapse = 0, Server enabled
Pixel scale = 2.91 arc-sec/px, Binning = 1, Focal length = 266 mm
Search region = 15 px, Star mass tolerance = 50.0%, Multi-star mode, list size = 12
 Camera = ZWO ASI120MM Mini (ASCOM), full size = 1280 x 960, have dark, dark dur = 1500, no defect map, pixel size = 3.8 um
Exposure = 1500 ms
Mount = GPUSB, connected, guiding enabled, AuxMount=CPWI_ASCOM_Telescope, xAngle = 154.7, xRate = 4.406, yAngle = -115.3, yRate = 5.100, parity = +/+
Norm rates RA = 13.9"/s @ dec 0, Dec = 14.8"/s; ortho.err. = 0.0 deg
X guide algorithm = Hysteresis, Hysteresis = 0.100, Aggression = 0.700, Minimum move = 0.130
Y guide algorithm = Resist Switch, Minimum move = 0.200 Aggression = 100% FastSwitch = enabled
Backlash comp = enabled, pulse = 1033 ms
Max RA duration = 2500, Max DEC duration = 2500, DEC guide mode = Auto
RA Guide Speed = 14.9 a-s/s, Dec Guide Speed = 14.9 a-s/s, Cal Dec = 0.0, Last Cal Issue = None, Timestamp = 15/07/2026 22:18:28
RA = 20.01 hr, Dec = 22.8 deg, Hour angle = -1.65 hr, Pier side = West, Rotator pos = N/A, Alt = 61.6 deg, Az = 126.0 deg
Lock position = 1264.014, 898.051, Star position = 1264.014, 898.051, HFD = 2.99 px
Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1842,4274.506,"Mount",-0.395,-0.121,0.306,0.278,0.193,0.278,44,W,55,S,,,93007,132.13,0
1843,4275.767,"Mount",0.522,-0.377,-0.633,0.117,-0.386,0.000,87,E,0,,,,101825,146.17,0
1844,4276.728,"Mount",-0.200,-0.008,0.177,0.093,0.085,0.000,19,W,0,,,,100758,141.78,0
1845,4277.844,"Mount",0.083,0.182,0.002,-0.200,0.000,0.000,0,,0,,,,92705,126.80,0
1846,4279.342,"Mount",0.012,-0.008,-0.014,0.002,0.000,0.000,0,,0,,,,105065,149.37,0
1847,4281.283,"Mount",0.268,-0.545,-0.475,0.378,-0.299,0.378,68,E,74,S,,,102711,136.39,0
1848,4283.008,"Mount",-0.622,0.442,0.752,-0.134,0.453,0.000,103,W,0,,,,103820,150.99,0
1849,4284.558,"Mount",0.499,-0.022,-0.461,-0.193,-0.259,0.000,59,E,0,,,,103613,150.68,0
1850,4285.557,"Mount",0.110,0.433,0.086,-0.439,0.000,0.000,0,,0,,,,97645,129.87,0
1851,4287.108,"Mount",-0.285,0.526,0.482,-0.354,0.304,0.000,69,W,0,,,,94906,127.04,0
1852,4288.389,"Mount",0.707,0.061,-0.613,-0.358,-0.365,0.000,83,E,0,,,,101436,146.14,0
1853,4291.338,"Mount",0.541,0.341,-0.343,-0.540,-0.242,-0.540,55,E,1176,N,,,107051,156.38,0
1854,4292.738,"Mount",-0.642,0.397,0.750,-0.085,0.456,0.000,103,W,0,,,,98257,131.60,0
1855,4294.347,"Mount",1.303,-0.624,-1.445,0.007,-0.878,0.000,199,E,0,,,,100426,136.55,0
1856,4295.296,"Mount",-0.184,-0.183,0.088,0.244,0.000,0.000,0,,0,,,,111322,140.90,0
1857,4296.947,"Mount",-0.221,-0.161,0.131,0.239,0.082,0.000,19,W,0,,,,102552,129.29,0
1858,4298.290,"Mount",0.254,-0.599,-0.486,0.433,-0.300,0.000,68,E,0,,,,87035,114.20,0
1859,4300.124,"Mount",0.104,-0.409,-0.269,0.325,-0.191,0.000,43,E,0,,,,97747,137.33,0
1860,4301.706,"Mount",-0.369,0.108,0.380,0.060,0.226,0.000,51,W,0,,,,104850,139.48,0
1861,4303.188,"Mount",0.305,-0.512,-0.495,0.332,-0.296,0.000,67,E,0,,,,98590,138.99,0
1862,4304.500,"Mount",0.272,-0.291,-0.370,0.147,-0.254,0.000,58,E,0,,,,103433,145.19,0
1863,4307.304,"Mount",0.081,-0.267,-0.187,0.207,-0.136,0.207,31,E,1111,S,,,103252,130.67,0
1864,4308.152,"Mount",0.003,0.120,0.049,-0.110,0.000,0.000,0,,0,,,,107825,141.33,0
1865,4309.308,"Mount",0.047,0.104,0.002,-0.114,0.000,0.000,0,,0,,,,101422,133.42,0
1866,4310.662,"Mount",-0.162,0.043,0.165,0.030,0.104,0.000,24,W,0,,,,106666,138.60,0
1867,4311.547,"Mount",-0.025,-0.201,-0.064,0.192,0.000,0.000,0,,0,,,,97412,137.68,0
1868,4313.873,"Mount",0.165,-0.003,-0.150,-0.067,-0.095,0.000,21,E,0,,,,103793,140.15,0
1869,4315.228,"Mount",-0.565,0.234,0.610,0.030,0.378,0.000,86,W,0,,,,107858,135.88,0
1870,4316.894,"Mount",0.386,-0.147,-0.412,-0.032,-0.233,0.000,53,E,0,,,,104254,144.17,0
1871,4318.889,"Mount",-0.733,0.064,0.690,0.256,0.419,0.256,95,W,50,S,,,88511,129.52,0
1872,4320.143,"Mount",-0.170,0.056,0.177,0.022,0.141,0.000,32,W,0,,,,98679,143.14,0
1873,4321.623,"Mount",0.311,-0.016,-0.288,-0.118,-0.172,0.000,39,E,0,,,,95286,147.32,0
1874,4322.638,"Mount",0.026,0.136,0.034,-0.134,0.000,0.000,0,,0,,,,101384,136.17,0
1875,4324.704,"Mount",-0.139,0.415,0.303,-0.316,0.191,0.000,43,W,0,,,,101000,124.38,0
1876,4325.962,"Mount",0.399,-0.227,-0.458,0.035,-0.275,0.000,62,E,0,,,,105570,158.22,0
1877,4327.173,"Mount",0.211,0.277,-0.072,-0.340,0.000,0.000,0,,0,,,,106859,147.52,0
1878,4328.735,"Mount",-0.160,0.203,0.232,-0.115,0.146,0.000,33,W,0,,,,90945,135.23,0
1879,4329.702,"Mount",0.122,0.131,-0.055,-0.170,0.000,0.000,0,,0,,,,99254,148.06,0
1880,4331.193,"Mount",0.398,0.054,-0.337,-0.219,-0.212,0.000,48,E,0,,,,96372,146.38,0
1881,4333.822,"Mount",-0.265,0.586,0.490,-0.417,0.294,-0.417,67,W,1152,N,,,90919,134.98,0
1882,4335.028,"Mount",-0.379,0.261,0.454,-0.074,0.307,0.000,70,W,0,,,,104157,133.48,0
1883,4337.163,"Mount",-0.324,-0.081,0.258,0.212,0.184,0.000,42,W,0,,,,92592,135.15,0
1884,4338.857,"Mount",0.928,-0.816,-1.188,0.341,-0.736,0.000,167,E,0,,,,105565,143.78,0
1885,4340.188,"Mount",0.806,-0.859,-1.096,0.432,-0.742,0.000,168,E,0,,,,98431,131.51,0
1886,4341.147,"Mount",-0.164,-0.283,0.027,0.326,0.000,0.000,0,,0,,,,97702,146.02,0
1887,4342.581,"Mount",-0.295,0.110,0.314,0.027,0.198,0.000,45,W,0,,,,106917,148.08,0
1888,4343.915,"Mount",-0.236,-0.004,0.212,0.104,0.147,0.000,33,W,0,,,,103007,140.87,0
1889,4345.483,"Mount",0.444,-0.591,-0.654,0.345,-0.402,0.000,91,E,0,,,,103320,152.43,0
1890,4347.946,"Mount",-0.188,-0.154,0.104,0.220,0.000,0.220,0,,1113,S,,,103668,132.33,0
1891,4348.842,"Mount",0.120,0.480,0.097,-0.486,0.000,0.000,0,,0,,,,94639,121.55,0
1892,4350.227,"Mount",0.014,0.649,0.264,-0.593,0.166,0.000,38,W,0,,,,94543,127.35,0
1893,4351.038,"Mount",0.164,0.273,-0.032,-0.317,0.000,0.000,0,,0,,,,94618,140.44,0
1894,4352.484,"Mount",0.386,0.445,-0.159,-0.567,-0.100,0.000,23,E,0,,,,95040,128.17,0
1895,4353.409,"Mount",0.206,0.483,0.020,-0.525,0.000,0.000,0,,0,,,,102868,151.02,0
1896,4355.074,"Mount",-0.505,0.379,0.619,-0.127,0.390,0.000,88,W,0,,,,107184,152.82,0
1897,4357.553,"Mount",-0.041,0.424,0.218,-0.366,0.165,-0.366,37,W,1114,N,,,99572,140.39,0
1898,4359.953,"Mount",-0.358,0.476,0.527,-0.277,0.344,-0.277,78,W,54,N,,,114622,153.63,0
1899,4361.032,"Mount",0.453,-0.189,-0.490,-0.023,-0.284,0.000,65,E,0,,,,105600,134.21,0
1900,4362.347,"Mount",0.289,-0.090,-0.300,-0.042,-0.209,0.000,47,E,0,,,,97008,143.95,0
1901,4363.698,"Mount",-0.865,0.414,0.959,-0.005,0.590,0.000,134,W,0,,,,103063,137.67,0
1902,4365.105,"Mount",0.065,-0.320,-0.196,0.261,-0.082,0.000,19,E,0,,,,105077,146.86,0
1903,4366.578,"Mount",-0.566,-0.211,0.421,0.433,0.260,0.000,59,W,0,,,,97428,140.10,0
1904,4367.688,"Mount",0.099,-0.202,-0.176,0.140,-0.093,0.000,21,E,0,,,,89884,128.30,0
1905,4370.555,"Mount",-0.310,-0.062,0.253,0.189,0.153,0.000,35,W,0,,,,101601,138.39,0
1906,4372.507,"Mount",2.052,-1.067,-2.311,0.088,-1.445,0.000,328,E,0,,,,92286,130.53,0
1907,4373.297,"Mount",0.022,0.135,0.038,-0.131,0.000,0.000,0,,0,,,,102427,134.34,0
1908,4375.179,"Mount",0.162,-0.135,-0.204,0.053,-0.129,0.000,29,E,0,,,,105235,149.52,0
1909,4376.087,"Mount",-0.186,-0.191,0.086,0.252,0.000,0.000,0,,0,,,,95878,148.01,0
1910,4377.863,"Mount",-0.526,-0.121,0.423,0.334,0.267,0.000,61,W,0,,,,107663,152.34,0
1911,4379.294,"Mount",0.196,-0.120,-0.229,0.025,-0.125,0.000,28,E,0,,,,97438,135.15,0
1912,4380.542,"Mount",-0.364,-0.043,0.311,0.194,0.187,0.000,42,W,0,,,,96548,133.16,0
1913,4383.728,"Mount",-0.440,-0.113,0.350,0.290,0.234,0.290,53,W,1099,S,,,105185,137.99,0
1914,4385.475,"Mount",0.220,-0.419,-0.378,0.285,-0.222,0.285,50,E,56,S,,,108616,151.95,0
1915,4386.904,"Mount",-0.349,0.529,0.541,-0.329,0.325,0.000,74,W,0,,,,104030,148.34,0
1916,4388.317,"Mount",0.617,0.007,-0.555,-0.270,-0.327,0.000,74,E,0,,,,99611,133.20,0
1917,4391.153,"Mount",-0.410,0.944,0.774,-0.678,0.465,-0.678,106,W,1175,N,,,92479,124.15,0
1918,4392.338,"Mount",-0.684,0.113,0.667,0.190,0.453,0.000,103,W,0,,,,102910,140.32,0
1919,4393.857,"Mount",-0.043,-0.197,-0.045,0.196,0.000,0.000,0,,0,,,,95730,116.07,0
1920,4395.797,"Mount",0.086,-0.378,-0.239,0.305,-0.151,0.000,34,E,0,,,,94274,139.50,0
1921,4397.211,"Mount",-0.716,-0.243,0.543,0.526,0.332,0.000,75,W,0,,,,104894,153.07,0
1922,4398.295,"Mount",0.105,-0.023,-0.105,-0.024,0.000,0.000,0,,0,,,,94322,136.25,0
1923,4399.602,"Mount",-0.433,-0.053,0.369,0.233,0.233,0.000,53,W,0,,,,99831,127.36,0
1924,4400.626,"Mount",-0.047,-0.391,-0.125,0.373,0.000,0.000,0,,0,,,,105371,144.41,0
1925,4402.076,"Mount",-0.040,0.115,0.086,-0.087,0.000,0.000,0,,0,,,,99989,131.63,0
1926,4405.352,"Mount",0.219,-0.332,-0.340,0.206,-0.214,0.206,49,E,1082,S,,,99416,134.48,0
1927,4406.228,"Mount",-0.048,0.169,0.115,-0.133,0.000,0.000,0,,0,,,,88454,128.67,0
1928,4407.804,"Mount",-0.446,0.055,0.426,0.141,0.269,0.000,61,W,0,,,,105857,143.59,0
1929,4408.677,"Mount",-0.084,-0.137,0.017,0.160,0.000,0.000,0,,0,,,,105619,142.50,0
1930,4410.990,"Mount",0.175,-0.414,-0.336,0.300,-0.211,0.300,48,E,59,S,,,101030,149.34,0
1931,4411.838,"Mount",0.022,0.107,0.026,-0.106,0.000,0.000,0,,0,,,,111928,140.48,0
1932,4413.097,"Mount",0.274,0.518,-0.027,-0.585,0.000,0.000,0,,0,,,,93089,136.73,0
1933,4414.732,"Mount",0.001,0.619,0.263,-0.560,0.166,0.000,38,W,0,,,,95974,134.90,0
1934,4418.160,"Mount",1.476,0.150,-1.271,-0.767,-0.789,-0.767,179,E,1192,N,,,99969,141.85,0
1935,4419.347,"Mount",-0.233,0.222,0.306,-0.101,0.138,0.000,31,W,0,,,,101638,145.97,0
1936,4420.885,"Mount",0.329,-0.127,-0.351,-0.025,-0.212,0.000,48,E,0,,,,92030,145.14,0
1937,4421.799,"Mount",-0.029,0.138,0.085,-0.112,0.000,0.000,0,,0,,,,85293,117.57,0
1938,4423.671,"Mount",-0.305,0.427,0.458,-0.256,0.289,-0.256,66,W,50,N,,,101513,137.51,0
1939,4425.324,"Mount",0.142,-0.344,-0.276,0.250,-0.153,0.000,35,E,0,,,,106697,156.33,0
1940,4426.714,"Mount",-0.493,0.177,0.521,0.050,0.318,0.000,72,W,0,,,,103225,157.46,0
1941,4428.490,"Mount",0.291,-0.372,-0.422,0.212,-0.243,0.000,55,E,0,,,,101487,128.33,0
1942,4430.074,"Mount",0.238,-0.672,-0.502,0.505,-0.333,0.000,76,E,0,,,,99658,132.99,0
1943,4431.739,"Mount",-1.041,0.547,1.175,-0.050,0.717,0.000,163,W,0,,,,107429,139.63,0
1944,4434.475,"Mount",0.328,-0.534,-0.525,0.343,-0.281,0.343,64,E,1109,S,,,96745,126.34,0
1945,4436.032,"Mount",0.291,0.015,-0.257,-0.138,-0.181,0.000,41,E,0,,,,95147,130.49,0
1946,4437.185,"Mount",-0.207,0.644,0.463,-0.494,0.279,0.000,63,W,0,,,,94911,141.05,0
1947,4438.920,"Mount",0.490,-0.097,-0.484,-0.122,-0.285,0.000,65,E,0,,,,86834,124.29,0
1948,4439.841,"Mount",0.184,0.096,-0.126,-0.165,0.000,0.000,0,,0,,,,101340,150.81,0
1949,4441.321,"Mount",0.033,0.120,0.022,-0.123,0.000,0.000,0,,0,,,,101098,148.48,0
1950,4442.287,"Mount",0.061,-0.032,-0.069,0.003,0.000,0.000,0,,0,,,,93519,132.32,0
1951,4443.708,"Mount",0.178,0.024,-0.151,-0.098,-0.095,0.000,22,E,0,,,,97296,138.13,0
1952,4445.314,"Mount",-0.227,-0.021,0.197,0.116,0.117,0.000,27,W,0,,,,99554,134.69,0
1953,4446.491,"Mount",0.570,-0.199,-0.600,-0.064,-0.370,0.000,84,E,0,,,,96226,126.96,0
1954,4447.307,"Mount",0.132,0.296,0.007,-0.324,0.000,0.000,0,,0,,,,110524,147.57,0
1955,4448.857,"Mount",0.233,-0.149,-0.274,0.036,-0.173,0.000,39,E,0,,,,96095,126.67,0
1956,4450.627,"Mount",-0.183,0.148,0.228,-0.055,0.132,0.000,30,W,0,,,,95853,129.94,0
1957,4453.448,"Mount",0.579,0.451,-0.330,-0.655,-0.199,-0.655,45,E,1170,N,,,95925,133.44,0
1958,4454.398,"Mount",-0.095,-0.145,0.024,0.171,0.000,0.000,0,,0,,,,102971,145.75,0
1959,4456.073,"Mount",-0.172,0.265,0.269,-0.166,0.169,0.000,38,W,0,,,,101285,143.08,0
1960,4457.499,"Mount",0.274,-0.599,-0.504,0.424,-0.306,0.000,69,E,0,,,,98640,145.76,0
1961,4458.738,"Mount",-0.142,0.012,0.134,0.050,0.063,0.000,14,W,0,,,,105601,144.78,0
1962,4460.708,"Mount",0.158,-0.408,-0.317,0.302,-0.195,0.000,44,E,0,,,,91883,131.12,0
1963,4461.961,"Mount",-0.144,-0.189,0.050,0.233,0.000,0.000,0,,0,,,,105664,146.40,0
1964,4463.570,"Mount",-0.380,-0.104,0.299,0.257,0.189,0.000,43,W,0,,,,103261,154.60,0
1965,4465.032,"Mount",0.250,-0.024,-0.236,-0.085,-0.136,0.000,31,E,0,,,,100284,120.95,0
1966,4465.972,"Mount",-0.051,-0.195,-0.037,0.198,0.000,0.000,0,,0,,,,104213,143.86,0
1967,4467.454,"Mount",0.258,-0.104,-0.278,-0.016,-0.175,0.000,40,E,0,,,,106799,130.94,0
1968,4468.879,"Mount",-0.060,-0.109,0.008,0.124,0.000,0.000,0,,0,,,,102812,139.22,0
1969,4470.402,"Mount",-0.091,-0.241,-0.021,0.257,0.000,0.000,0,,0,,,,102516,145.14,0
1970,4472.463,"Mount",0.130,-0.120,-0.169,0.053,-0.107,0.000,24,E,0,,,,99314,128.80,0
1971,4474.103,"Mount",-0.780,0.600,0.961,-0.209,0.598,0.000,136,W,0,,,,98667,133.96,0
1972,4475.506,"Mount",0.197,-0.472,-0.380,0.343,-0.197,0.000,45,E,0,,,,90903,136.31,0
1973,4476.466,"Mount",-0.096,0.028,0.099,0.015,0.000,0.000,0,,0,,,,94996,136.10,0
1974,4478.411,"Mount",0.168,-0.396,-0.321,0.286,-0.202,0.000,46,E,0,,,,86774,130.47,0
1975,4481.032,"Mount",-0.690,-0.314,0.489,0.579,0.294,0.579,67,W,1156,S,,,107245,155.68,0
1976,4482.066,"Mount",0.376,0.119,-0.289,-0.268,-0.162,0.000,37,E,0,,,,104228,138.10,0
1977,4483.118,"Mount",0.020,0.086,0.018,-0.086,0.000,0.000,0,,0,,,,117502,165.10,0
1978,4485.398,"Mount",-0.082,0.339,0.219,-0.271,0.138,0.000,31,W,0,,,,93077,133.50,0
1979,4486.805,"Mount",0.196,-0.052,-0.199,-0.037,-0.116,0.000,26,E,0,,,,101291,135.81,0
1980,4488.290,"Mount",-0.437,0.213,0.486,-0.005,0.298,0.000,68,W,0,,,,109329,156.89,0
1981,4490.035,"Mount",0.375,-0.535,-0.568,0.323,-0.337,0.323,76,E,63,S,,,107140,130.45,0
1982,4491.539,"Mount",-0.459,0.509,0.633,-0.264,0.375,0.000,85,W,0,,,,103162,147.09,0
1983,4492.950,"Mount",1.995,-0.384,-1.968,-0.506,-1.213,0.000,275,E,0,,,,100234,140.26,0
1984,4495.223,"Mount",0.083,0.219,0.019,-0.233,0.000,-0.233,0,,1088,N,,,114670,157.18,0
1985,4496.283,"Mount",-0.073,-0.082,0.031,0.106,0.000,0.000,0,,0,,,,90197,119.71,0
1986,4497.923,"Mount",0.051,0.340,0.099,-0.329,0.000,-0.329,0,,65,N,,,110683,159.20,0
1987,4499.308,"Mount",0.428,-0.155,-0.454,-0.042,-0.286,0.000,65,E,0,,,,99063,143.85,0
1988,4500.891,"Mount",-0.078,0.292,0.195,-0.230,0.103,-0.230,23,W,45,N,,,106655,147.44,0
1989,4502.029,"Mount",-0.036,-0.235,-0.068,0.228,0.000,0.000,0,,0,,,,92158,128.36,0
1990,4503.240,"Mount",0.017,-0.017,-0.022,0.008,0.000,0.000,0,,0,,,,100188,132.05,0
1991,4504.357,"Mount",-0.121,-0.184,0.030,0.218,0.000,0.000,0,,0,,,,100935,135.42,0
1992,4506.025,"Mount",-0.539,-0.120,0.436,0.339,0.275,0.000,62,W,0,,,,93216,118.74,0
1993,4507.671,"Mount",0.442,-0.241,-0.502,0.029,-0.297,0.000,67,E,0,,,,103250,144.98,0
1994,4509.042,"Mount",-0.459,-0.046,0.395,0.238,0.228,0.000,52,W,0,,,,101617,126.20,0
1995,4510.588,"Mount",-0.446,0.015,0.410,0.177,0.274,0.000,62,W,0,,,,94813,135.14,0
1996,4512.870,"Mount",-0.028,-0.339,-0.120,0.319,0.000,0.319,0,,1104,S,,,91454,131.06,0
1997,4514.163,"Mount",0.256,-0.313,-0.366,0.174,-0.230,0.000,52,E,0,,,,95352,137.93,0
1998,4515.800,"Mount",-0.179,0.236,0.263,-0.137,0.149,0.000,34,W,0,,,,102375,133.24,0
1999,4517.012,"Mount",1.604,-0.528,-1.675,-0.208,-1.045,0.000,237,E,0,,,,98783,137.26,0
2000,4518.768,"Mount",-0.143,0.399,0.300,-0.300,0.116,0.000,26,W,0,,,,103608,151.53,0
2001,4519.521,"Mount",-0.139,-0.001,0.125,0.061,0.000,0.000,0,,0,,,,105679,144.26,0
2002,4521.792,"Mount",0.046,-0.292,-0.166,0.244,-0.104,0.244,24,E,48,S,,,102000,138.53,0
2003,4522.704,"Mount",0.051,0.229,0.052,-0.228,0.000,0.000,0,,0,,,,101019,146.57,0
2004,4524.950,"Mount",-0.716,0.710,0.951,-0.336,0.599,0.000,136,W,0,,,,103648,136.10,0
2005,4526.431,"Mount",1.237,-1.264,-1.658,0.614,-1.003,0.000,228,E,0,,,,99470,135.00,0
2006,4527.756,"Mount",-0.346,-0.015,0.307,0.161,0.123,0.000,28,W,0,,,,96873,136.30,0
2007,4528.923,"Mount",-0.061,0.447,0.246,-0.378,0.163,0.000,37,W,0,,,,100359,136.16,0
2008,4530.509,"Mount",0.283,-0.123,-0.309,-0.010,-0.183,0.000,42,E,0,,,,96365,129.18,0
2009,4531.568,"Mount",0.069,0.091,-0.024,-0.112,0.000,0.000,0,,0,,,,90666,132.94,0
2010,4532.756,"Mount",-0.092,0.128,0.138,-0.077,0.087,0.000,20,W,0,,,,97641,139.95,0
2011,4534.090,"Mount",0.059,0.052,-0.031,-0.073,0.000,0.000,0,,0,,,,94943,132.32,0
2012,4535.732,"Mount",0.324,-0.400,-0.464,0.223,-0.292,0.000,66,E,0,,,,95322,138.62,0
2013,4536.560,"Mount",0.138,0.004,-0.123,-0.063,0.000,0.000,0,,0,,,,101910,139.62,0
2014,4538.099,"Mount",-0.058,-0.208,-0.036,0.212,0.000,0.212,0,,42,S,,,98629,132.26,0
2015,4538.658,"Mount",-0.039,0.097,0.076,-0.071,0.000,0.000,0,,0,,,,96846,133.57,0
2016,4539.521,"Mount",0.072,-0.134,-0.122,0.090,0.000,0.000,0,,0,,,,101460,139.48,0
2017,4541.352,"Mount",-0.020,0.146,0.081,-0.123,0.000,0.000,0,,0,,,,97408,137.19,0
2018,4542.544,"Mount",-0.119,0.348,0.256,-0.264,0.162,0.000,37,W,0,,,,109752,146.13,0
2019,4544.260,"Mount",0.227,0.098,-0.163,-0.186,-0.092,0.000,21,E,0,,,,98766,128.15,0
2020,4545.174,"Mount",0.191,0.196,-0.089,-0.259,0.000,0.000,0,,0,,,,107053,135.80,0
2021,4547.226,"Mount",0.199,0.072,-0.149,-0.150,-0.094,0.000,21,E,0,,,,101069,143.37,0
2022,4548.136,"Mount",-0.215,0.725,0.505,-0.564,0.311,0.000,71,W,0,,,,101573,141.48,0
2023,4550.714,"Mount",-0.415,0.724,0.685,-0.477,0.453,-0.477,103,W,1135,N,,,96233,120.78,0
2024,4553.001,"Mount",-0.384,0.509,0.564,-0.296,0.387,-0.296,88,W,58,N,,,97945,122.61,0
2025,4554.892,"Mount",1.775,-1.020,-2.041,0.164,-1.259,0.000,286,E,0,,,,97995,134.38,0
2026,4555.653,"Mount",-0.134,-0.253,0.013,0.286,0.000,0.000,0,,0,,,,94528,132.12,0
2027,4557.336,"Mount",0.263,-0.417,-0.416,0.265,-0.262,0.000,60,E,0,,,,104094,138.73,0
2028,4558.595,"Mount",-0.152,0.261,0.249,-0.171,0.138,0.000,31,W,0,,,,101806,146.33,0
2029,4560.279,"Mount",0.208,-0.663,-0.471,0.510,-0.287,0.000,65,E,0,,,,100469,141.55,0
2030,4561.223,"Mount",-0.136,-0.338,-0.022,0.364,0.000,0.000,0,,0,,,,104803,147.06,0
2031,4564.072,"Mount",-0.130,-0.640,-0.156,0.634,-0.098,0.634,22,E,1166,S,,,103931,157.25,0
2032,4565.148,"Mount",0.195,-0.185,-0.255,0.084,-0.168,0.000,38,E,0,,,,90027,137.48,0
2033,4566.110,"Mount",0.160,0.095,-0.104,-0.154,0.000,0.000,0,,0,,,,104521,138.39,0
2034,4567.462,"Mount",-0.127,-0.136,0.056,0.177,0.000,0.000,0,,0,,,,97653,136.01,0
2035,4569.796,"Mount",-0.207,0.298,0.315,-0.181,0.198,0.000,45,W,0,,,,98753,147.75,0
2036,4570.870,"Mount",0.666,-0.329,-0.743,0.013,-0.454,0.000,103,E,0,,,,109017,157.54,0
2037,4572.410,"Mount",0.604,-0.167,-0.618,-0.107,-0.421,0.000,96,E,0,,,,94087,137.47,0
2038,4573.770,"Mount",-0.723,0.023,0.664,0.288,0.389,0.288,88,W,57,S,,,96056,137.36,0
2039,4574.869,"Mount",-0.042,0.065,0.066,-0.041,0.000,0.000,0,,0,,,,107683,149.27,0
2040,4576.451,"Mount",0.775,0.100,-0.658,-0.422,-0.415,0.000,94,E,0,,,,100362,122.21,0
2041,4577.894,"Mount",-0.246,0.579,0.470,-0.419,0.267,0.000,61,W,0,,,,97714,148.54,0
2042,4579.036,"Mount",0.824,-0.314,-0.879,-0.068,-0.535,0.000,121,E,0,,,,89836,126.96,0
2043,4580.422,"Mount",0.525,-0.065,-0.502,-0.165,-0.354,0.000,80,E,0,,,,104594,151.92,0
2044,4581.370,"Mount",0.204,0.177,-0.109,-0.248,0.000,0.000,0,,0,,,,104710,150.35,0
2045,4584.556,"Mount",-0.094,0.401,0.257,-0.322,0.162,-0.322,37,W,1105,N,,,94557,134.04,0
2046,4586.269,"Mount",0.592,0.064,-0.508,-0.311,-0.309,-0.311,70,E,61,N,,,119961,162.36,0
2047,4588.041,"Mount",0.317,-0.200,-0.372,0.045,-0.256,0.000,58,E,0,,,,101505,126.29,0
2048,4589.354,"Mount",-0.731,0.424,0.842,-0.070,0.512,0.000,116,W,0,,,,98547,135.68,0
2049,4590.299,"Mount",-0.110,0.040,0.116,0.010,0.000,0.000,0,,0,,,,98211,131.79,0
2050,4591.734,"Mount",-0.029,-0.539,-0.205,0.500,-0.129,0.000,29,E,0,,,,105359,139.61,0
2051,4593.113,"Mount",-0.743,0.132,0.729,0.198,0.450,0.000,102,W,0,,,,102923,139.84,0
2052,4594.760,"Mount",0.109,-0.209,-0.188,0.143,-0.087,0.000,20,E,0,,,,91383,117.08,0
2053,4596.146,"Mount",0.140,-0.163,-0.196,0.088,-0.130,0.000,29,E,0,,,,101668,140.90,0
2054,4598.816,"Mount",-0.520,0.493,0.681,-0.223,0.420,-0.223,95,W,44,N,,,101519,142.80,0
2055,4600.057,"Mount",0.127,-0.688,-0.409,0.568,-0.228,0.000,52,E,0,,,,97744,130.23,0
2056,4602.900,"Mount",-0.255,-0.768,-0.098,0.803,0.000,0.803,0,,1199,S,,,102643,136.02,0
2057,4605.906,"Mount",0.157,-0.608,-0.402,0.483,-0.253,0.483,57,E,95,S,,,99783,143.75,0
2058,4607.098,"Mount",-0.215,0.137,0.253,-0.032,0.142,0.000,32,W,0,,,,94955,128.01,0
2059,4608.854,"Mount",0.848,-0.313,-0.900,-0.080,-0.557,0.000,126,E,0,,,,105768,144.49,0
2060,4610.422,"Mount",-1.071,0.654,1.247,-0.134,0.747,0.000,170,W,0,,,,97356,136.96,0
2061,4611.679,"Mount",-0.185,0.249,0.273,-0.147,0.225,0.000,51,W,0,,,,107387,139.85,0
2062,4613.417,"Mount",-0.350,-0.095,0.276,0.236,0.190,0.236,43,W,46,S,,,113249,146.74,0
2063,4615.172,"Mount",0.442,0.238,-0.298,-0.404,-0.174,0.000,40,E,0,,,,92479,126.20,0
2064,4616.695,"Mount",-0.329,0.513,0.517,-0.323,0.313,0.000,71,W,0,,,,97935,129.75,0
2065,4617.979,"Mount",0.132,0.309,0.013,-0.336,0.000,0.000,0,,0,,,,98880,133.25,0
2066,4619.569,"Mount",-0.010,0.362,0.163,-0.323,0.103,0.000,23,W,0,,,,110506,137.07,0
2067,4623.298,"Mount",-0.158,0.553,0.380,-0.433,0.246,-0.433,56,W,1127,N,,,97294,134.97,0
2068,4624.632,"Mount",0.026,-0.256,-0.133,0.221,-0.067,0.000,15,E,0,,,,102959,146.86,0
2069,4626.245,"Mount",0.065,-0.590,-0.311,0.506,-0.201,0.000,46,E,0,,,,95991,117.05,0
